"pandora_topic_id","topic_term","cnt"
"TP:33274","Laura Schlessinger","47"
"TP:115764","Justin J. Pearson","47"
"TP:35517","Elvis Duran","47"
"TP:34869","Tommy Dreamer","46"
"TP:103267","Stanley T. Evans","46"
"TP:103348","Swaggy Sie (SiriusXM Host)","46"
"TP:54936","Amy Robach","46"
"TP:105045","Ania Hammar","46"
"TP:111607","Lisa Loeb","46"
"TP:28324","travel","46"
"TP:34589","Darby Allin","45"
"TP:103222","Glenn Crooks (SiriusXM Host)","45"
"TP:139021","Joe Mazzulla","45"
"TP:86400","Martha Quinn","44"
"TP:28489","Star Wars (franchise)","44"
"TP:177108","trucking issues","44"
"TP:47936","Sam Roberts (SiriusXM Host)","44"
"TP:83597","Anaheim Ducks","44"
"TP:49045","Wolfgang Van Halen","44"
"TP:112329","Diplo","44"
"TP:33326","Stephen A. Smith","44"
"TP:119711","Robert Brender","44"
"TP:83296","Tennessee Titans","43"
"TP:85369","Southeastern Conference","43"
"TP:139491","music","43"
"TP:103151","Pete Pistone","43"
"TP:140380","tariffs","43"
"TP:97354","C-SPAN","43"
"TP:119725","Denise Salcedo","43"
"TP:28371","Disneyland","43"
"TP:181676","Truist Championship","43"
"TP:140747","trucking culture","43"
"TP:31637","Sean Hannity","43"
"TP:142553","new music","43"
"TP:60506","Rodney Marsh","43"
"TP:86639","FC Bayern Munich","43"
"TP:105052","Shannon Gunz","43"
"TP:28997","tennis","43"
"TP:253068","Zohran Mamdani","43"
"TP:120717","Jonathan Hood","43"
"TP:122845","NASCAR Cup Series","43"
"TP:124690","Lostboycrow","43"
"TP:50322","T. J. Holmes","43"
"TP:117250","Sha-Rock","42"
"TP:38961","Kansas City Chiefs","42"
"TP:34559","Danhausen (wrestler)","42"
"TP:103352","Dave LaGreca","42"
"TP:83376","St. Louis Cardinals","42"
"TP:140309","college softball","42"
"TP:47561","Tony Meola","42"
"TP:38918","Los Angeles Chargers","42"
"TP:108491","Grandmaster Caz","42"
"TP:40499","Steve Sax","41"
"TP:66084","Dax McCarty","41"
"TP:38983","Washington Commanders","41"
"TP:204677","Evan Real","41"
"TP:110939","Bob Marley","41"
"TP:39352","March Madness","41"
"TP:103340","Tom Byrne (SiriusXM Host)","41"
"TP:219042","MS NOW","41"
"TP:259399","Danny Murphy (podcaster)","41"
"TP:38956","Green Bay Packers","41"
"TP:105057","Mark Strigl (SiriusXM Host)","41"
"TP:254909","Joe Ceraulo","40"
"TP:103242","Earle Bailey (SiriusXM Host)","40"
"TP:37248","Shane Douglas","40"
"TP:103341","JT The Brick (SiriusXM Host)","40"
"TP:139576","Oscar Beltran (SiriusXM board operator)","40"
"TP:40010","Mike Campbell (musician)","40"
"TP:115086","Cameron Young","40"
"TP:144054","US politics","40"
"TP:28410","Disney World","40"
"TP:83300","Toronto Maple Leafs","40"
"TP:83305","Arizona Diamondbacks","40"
"TP:86642","Manchester City F.C.","40"
"TP:110997","Dan + Shay","39"
"TP:103656","Scott Wapner","39"
"TP:124617","Morning Mash Up","39"
"TP:83385","Tampa Bay Lightning","39"
"TP:32532","Cade Cunningham","39"
"TP:28400","For Kids","39"
"TP:83657","Las Vegas Raiders","39"
"TP:116222","Marc Benecke (SiriusXM Host)","39"
"TP:144447","Broadway","39"
"TP:31339","Scottie Scheffler","39"
"TP:118899","Brendon de Jonge","39"
"TP:83384","Colorado Rockies","39"
"TP:103137","Julia Cunningham","39"
"TP:110070","Kid Rock","39"
"TP:36516","Chris Harrison","38"
"TP:103915","Shane Malloy (SiriusXM Host)","38"
"TP:32616","Mike Vrabel","38"
"TP:106753","T. Graham Brown","38"
"TP:35738","Chris ""Mad Dog"" Russo","38"
"TP:83388","Miami Marlins","38"
"TP:86729","Atlético Madrid","38"
"TP:29318","The Real Housewives of Beverly Hills","38"
"TP:103897","Dave McCarthy (SiriusXM host)","38"
"TP:102876","Buzz Brainard","38"
"TP:80370","Atlanta Hawks","38"
"TP:32801","Terry Gross","37"
"TP:33020","Michael Smerconish","37"
"TP:103107","Dave Dwyer","37"
"TP:103146","Chantel McCabe (SiriusXM Host)","37"
"TP:122644","birthdays","37"
"TP:103232","Charlie Stillitano","37"
"TP:83315","Athletics (baseball)","37"
"TP:241746","Vicky Sparks","37"
"TP:103893","Peter Burns (sportscaster)","37"
"TP:110198","Big Jay Oakerson","37"
"TP:124767","Tom Rennie (DEPRECATED)","37"
"TP:110537","Robert Kelly (comedian)","37"
"TP:136310","Jesse Jackson","37"
"TP:103268","Robb Walker (SiriusXM Host)","37"
"TP:108042","Jake Owen","36"
"TP:111958","Trace Adkins","36"
"TP:130301","Justin LaBar","36"
"TP:139299","comedy","36"
"TP:28313","real estate","36"
"TP:105044","Mack (SiriusXM Host)","36"
"TP:110906","Mickie James","36"
